contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,dte,spot
SPY260116C00657000,2026-01-02 14:51:49+00:00,657.0,31.24,26.94,29.69,1.6900005,5.719122,1.0,14,0.2472609454345703,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00658000,2026-01-02 20:01:35+00:00,658.0,27.37,27.17,27.52,-4.8500004,-15.052763,11.0,21,0.2069781451416015,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00659000,2025-12-26 17:16:18+00:00,659.0,33.47,26.17,26.59,0.0,0.0,46.0,13,0.20368227966308594,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00660000,2026-01-02 20:36:39+00:00,660.0,25.37,25.27,25.71,0.41000175,1.6426352,456.0,11640,0.20172917419433595,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00661000,2026-01-02 17:42:44+00:00,661.0,25.0,24.39,24.76,-1.5599995,-5.873492,6.0,16,0.1975788250732422,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00662000,2026-01-02 17:14:36+00:00,662.0,22.58,23.45,23.82,-1.7299995,-7.1164117,3.0,16,0.19367261413574222,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00663000,2026-01-02 17:20:48+00:00,663.0,21.82,22.53,22.95,-5.710001,-20.741013,40.0,585,0.1915364050292969,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00664000,2025-12-31 15:26:46+00:00,664.0,24.5,21.63,22.0,0.0,0.0,1.0,14,0.18708088317871097,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00665000,2026-01-02 20:36:48+00:00,665.0,20.91,20.75,21.13,-0.07999992,-0.38113353,183.0,12460,0.18470053588867186,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00666000,2026-01-02 15:35:37+00:00,666.0,20.39,19.83,20.25,-0.020000458,-0.097993426,7.0,70,0.18180139495849607,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00667000,2026-01-02 15:39:07+00:00,667.0,18.35,18.94,19.34,-1.1000004,-5.6555285,7.0,49,0.17798673583984376,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00668000,2026-01-02 15:27:36+00:00,668.0,17.47,18.09,18.48,-2.4700012,-12.387167,5.0,31,0.17527069854736327,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00669000,2026-01-02 15:45:44+00:00,669.0,18.29,17.28,17.6,-0.45999908,-2.4533284,2.0,45,0.17188328125000002,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00670000,2026-01-02 21:00:10+00:00,670.0,16.76,16.44,16.75,0.44000053,2.6960819,707.0,26333,0.16901465759277345,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00671000,2026-01-02 19:13:13+00:00,671.0,14.99,15.56,15.93,-0.57000065,-3.663243,11.0,92,0.166573275756836,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00672000,2026-01-02 19:22:20+00:00,672.0,14.15,14.76,15.09,-1.4400005,-9.236693,24.0,162,0.16352154846191408,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00673000,2026-01-02 20:45:08+00:00,673.0,13.5,13.94,14.26,-4.6499996,-25.619831,35.0,233,0.16040878662109376,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00674000,2026-01-02 20:42:29+00:00,674.0,12.9,13.15,13.46,-0.97000027,-6.9935126,40.0,509,0.1577232666015625,True,REGULAR,USD,2026-01-16,12,683.1699829101562
SPY260116C00675000,2026-01-02 21:12:15+00:00,675.0,12.4,12.45,12.68,-0.20000076,-1.5873077,3079.0,18395,0.15515981567382814,True,REGULAR,USD,2026-01-16,12,683.1699829101562
